CourseId,Review,Label,language,sentiment,clean_review
financial-analysis,Just for fresh beginner in this topic,3,en,neutral,fresh beginner topic
python,Great content and e,5,en,positive,great content e
web-frameworks,Very Good Course for begineers,5,en,positive,good course begineer
english-principles,Highly recommend it.,5,en,positive,highly recommend
happiness,"Really great class, everyone should be in this one!",5,en,positive,great class
server-side-development,"Seems like the quality of this specialization goes down with every course. The instructor is not showing us the way we should think about developing programs in NodeJS, but he insists on using PowerPoint slides to show us how to code! It's 2016, and there are way better mediums for communicating with your students. Simply copying and pasting code and explaining what every line does is not the right way of teaching any concept, especially when you are dealing with a new technology. For the start, the instructor can actually type the code and explain what goes through his mind during each step. That way anyone can follow his problem solving methods and benefit from the course.I had to take other online courses on Code School and Pluralsight just to understand what's going on, and later come back to finish the homework.",1,en,negative,like quality specialization go course instructor show way think develop program nodejs insist powerpoint slide code way well medium communicate student simply copy paste code explain line right way teach concept especially deal new technology start instructor actually type code explain go mind step way follow problem solve method benefit online course code school pluralsight understand go later come finish homework
introancientegypt,"The subject matter is of great interest to me but unfortunately Dr. Silverman standing paralyzed before a projected backdrop and lecturing in a monotone doesn't do it. Too much ""talking head"" (actually motionless body) and too few visuals of course material. I'm sure he's a brilliant man, but an adequate lecturer he is not. If he's so shy he might just do voice-overs. I have dropped the course and will just read the book. I would not, incidentally, rate the course at an intermediate level. Beginning would be more accurate.Onscreen videos are bad enough, being at one remove from the classroom, but onscreen videos of an immobile monotone lecturers will kill any subject.",2,en,negative,subject matter great interest unfortunately dr silverman stand paralyze project backdrop lecture monotone talk head actually motionless body visual course material sure brilliant man adequate lecturer shy voice over drop course read book incidentally rate course intermediate level beginning video bad remove classroom onscreen video immobile monotone lecturer kill subject
negotiation-skills,"Not very well organized course to teach the essential principles of negotiation. The course material moves incongruently between legal and business negotiation tactics, which would make it difficult for any untrained future negotiator to understand the art of negotiation and ADR for business and law.",1,en,negative,organized course teach essential principle negotiation course material move incongruently legal business negotiation tactic difficult untrained future negotiator understand art negotiation adr business law
xitong-pingtai-csharp-chengxu-jichu,"bad useless garbage,this is the most bad online course i've take,just waste time",1,en,negative,bad useless garbage bad online course waste time
global-warming,"Fabulous overview of the science of global warming! I really appreciated the step-by-step approach and the comprehensive coverage of the subject. Playing with the models was highly useful in most cases, though some of the quiz questions related to the models seemed to be overly finicky in the answers they'd accept as correct. In any case, I thoroughly enjoyed this course and will be using the knowledge I gained from it as I begin pursuing a Master's in environmental science this summer.",5,en,positive,fabulous overview science global warming appreciate step step approach comprehensive coverage subject play model highly useful case quiz question relate model overly finicky answer accept correct case thoroughly enjoy course knowledge gain begin pursue master environmental science summer
angular-js,Definitely Not for young new front end learners .Lots of things difficult to understand.,3,en,neutral,definitely young new end learner thing difficult understand
electronics,I like this mam teaching,3,en,neutral,like mam teaching
marketing-channels,waste of time.,2,en,negative,waste time
website-coding,"As a learning course the final project was specification-less. they should ask for something specific and explained well they should test conecpts not asking for whatever idea you have, apply what you learned I think this is an old school method.",3,en,neutral,learning course final project specification ask specific explain test conecpt ask idea apply learn think old school method
wireless-communication-technologies,"the instructor was so fluency in English it was a great to have this course with u , thank alot dr.Joung moon",5,en,positive,instructor fluency english great course u thank alot moon
intellectual-humility-theory,rather hard to understand,3,en,neutral,hard understand
machine-learning,Very good course！,5,en,positive,good course
cyber-security-domain,I wish they spent more time on the content of videos and less on the silly effects and 30-second intro and outro sequences. Practically every question of the final comes word-for-word from a book not assigned in the module readings and not available for free to students for them to study. I won't be taking any other courses from this school if this course was an indication of quality.,1,en,negative,wish spend time content video silly effect second intro outro sequence practically question final come word word book assign module reading available free student study will take course school course indication quality
diabetes,DEBERIA TENER SUBTITULOS EN ESPAÑOL PARA QUE ASI FUERA DE MAS FACIL ACCESO PARA TODOS.,3,en,neutral,deberia tener subtitulo en español para que asi fuera de mas facil acceso para todo
gamedev-business,"This course tries to cover the many aspects around the games industry. But the coverage in each of the subject is not deep enough to be useful. For example, the instructor talks about project management, public speaking, how to write a resume etc. The instructor starts by talking about why they are useful, and then followed by one to two 10-15 minutes long video lectures. Each of these could worth a full Coursera course and I am sure the other courses have better coverage than in this course.The quiz questions are not well thought and do not stimulate thinking at all. Some of the ""correct"" answers are personal opinions but you have to choose them in order to pass the quiz.The third peer grading assessment asks students to post a video either to pitch himself/herself or to pitch the game the student makes. However, the specialization up to this point does not equip student with the skills beyond the basics. Unless you are already in the industry, I do not think anyone can make anything impressive to be worth pitching in front of the audience.",2,en,negative,course try cover aspect game industry coverage subject deep useful example instructor talk project management public speaking write resume etc instructor start talk useful follow minute long video lecture worth coursera course sure course well coverage quiz question thought stimulate thinking correct answer personal opinion choose order pass peer grading assessment ask student post video pitch pitch game student make specialization point equip student skill basic industry think impressive worth pitch audience
finance-for-non-finance-managers,"The presenter is good and knowledgeable, but the information is barely skimmed over and there isn't any real opportunity to learn. A few worked examples might be good",3,en,neutral,presenter good knowledgeable information barely skim real opportunity learn work example good
marketing-verde,"I have liked the course so far, I only have a sugestion on the quality of the videos:The first ones had a lot of background noise and the teacher explains a little too fast... maybe for students with a not very fluent level of Spanish it might be difficult to follow...I like the structure, it integrates activities, videos and quizzes so it is easy going.",4,en,positive,like course far sugestion quality video one lot background noise teacher explain little fast maybe student fluent level spanish difficult follow like structure integrate activity video quiz easy go
galaxy-project,"I suggest to do this course ONLY if you're doing whole specialization.Course is simply bad, teacher doesn't give to much information and project is very hard to finish.",1,en,negative,suggest course simply bad teacher information project hard finish
holocaust-introduction-1,"This is an amazing, interesting course! I never thought that learning about Hitler and the origins of the Holocaust would become an interest, but it's really great! And the teacher/professor explains it so well!",3,en,neutral,amazing interesting course think learn hitler origin holocaust interest great teacher professor explain
designexperiments,Way to technical,1,en,negative,way technical
the-beatles,The course is great and it helps me in understanding and appreciating their music.,4,en,positive,course great help understanding appreciate music
advanced-calculus,Most enjoyable calculus MOOC that I have seen. Dr. Fowler is great.,5,en,positive,enjoyable calculus mooc see dr fowler great
java-programming-arrays-lists-data,The Best learning course on Java programming,5,en,positive,good learning course java programming
international-law-in-action,"It is not free. They just sell the certificates. There is not any free statement about accomplishment of the course, so nobody will knows that you have completed it. In the future you have not got anything to show in your CV.I want my Statement of Accomplishment.",1,en,negative,free sell certificate free statement accomplishment course know complete future get want statement accomplishment
data-scientists-tools,Good course. Short and sweet. Nice to be able to access future weeks' lessons and finish ahead of schedule if you wish to.,4,en,positive,good course short sweet nice able access future week lesson finish ahead schedule wish
wharton-introduction-spreadsheets-models,"This course was a extremely introductory course in excel. I would not recommend it to anyone, especially at the cost of $95. Aside from getting yourself thinking about using Excel and some minor lessons learned, I found it to be a complete waste of time.",1,en,negative,course extremely introductory course excel recommend especially cost aside get think excel minor lesson learn find complete waste time
user-research,"For some of the topics, the Introduction class has more meaningful homework projects. this felt a bit thin.",3,en,neutral,topic introduction class meaningful homework project feel bit thin
data-science-project,it could've given more instructions!,3,en,neutral,give instruction
gamedev-business,Game video pitch is the most interesting assignment. I have got chance to see other students' ideas.,4,en,positive,game video pitch interesting assignment get chance student idea
android-app,Excellent course that introduces students to android app development through practical and comprehensive topics. Allowed me to build my first app and launch on Google Play Store.,5,en,positive,excellent course introduce student android app development practical comprehensive topic allow build app launch google play store
guitar,"The first few weeks are truly beginner/intro course stuff and the entire course is well taught. However, weeks 4-7 ramp up at far too fast of a pace. I spent 8-10 hours every week trying to keep up and it just moved too fast. The instructor was doing things at breakneck speed with little explanation. It gets very discouraging by the end because you simply can't play the material. I think this course is really for people who are re-learning guitar or already have musical backgrounds.",1,en,negative,week truly beginner intro course stuff entire course teach week ramp far fast pace spend hour week try move fast instructor thing breakneck speed little explanation get discouraging end simply play material think course people learn guitar musical background
galaxy-project,"The course Info was too simple. While the explanation of Why Galaxy and what the idea behind it was great, the content taught by the videos was more than basic. All this I have learned by trial and error myself, and I completely missed the info of WHY using THIS tool and not others. About extra options we did not talk at all.Additionally, after all these easy lectures and quizzes we were left with the final assignment that was super-hard. The vidoes only prepared for 1/3 of the workflow asked for, and for the rest one was left alone with a tool that was suboptimally introduced. Furthermore, the galaxy instance was crashing regularly, making the convenient batch tool impossible to use.While I liked the idea of grading each other, it was too much work, as everybody got different answers, because of too hard questions. Therefore I spent quite some time on grading, which I did not expect",2,en,negative,course info simple explanation galaxy idea great content teach video basic learn trial error completely miss info tool extra option talk easy lecture quiz leave final assignment super hard vidoe prepare workflow ask rest leave tool suboptimally introduce furthermore galaxy instance crash regularly make convenient batch tool impossible like idea grade work everybody get different answer hard question spend time grading expect
user-research,"Unfortunately I found this course to be the least enjoyable so far in the specialization. I'm not sure if I was just jarred by the change in instructor, but I found her manner of lecture to be almost belittling. I'm not sure if she's a mother or not, but that's the way she comes across--like she's trying to squeeze massive and advanced theory into a pill designed for ten year-olds.A majority of this class simply glossed over things we already learned in the intro class, and she would often list things she was going to talk about, and then ignore one of those items entirely. In fact, one of the most challenging assignments in this course was building a journey map, something that was mentioned in the lectures, but not gone into in depth at all. I tackled this challenge by sort of haphazardly googling journey maps and praying my submission would come across as somewhat logical.Ultimately I'm very disappointed with this part of the specialization. I don't feel like it was worth my $39, and would love to see this class completely redesigned for future learners. Research and prototyping is arguably one of the most important things for a burgeoning UX designer to learn, and this class could stand to be a lot more in depth.",2,en,negative,unfortunately find course enjoyable far specialization sure jarred change instructor find manner lecture belittle sure mother way come like try squeeze massive advanced theory pill design year majority class simply glossed thing learn intro class list thing go talk ignore item entirely fact challenging assignment course build journey map mention lecture go depth tackle challenge sort haphazardly google journey map pray submission come somewhat disappointed specialization feel like worth love class completely redesign future learner research prototyping arguably important thing burgeon ux designer learn class stand lot depth
python,Great effort by the team of coursera and Dr. Chuck.I liked the simplicity of the course. Perfect for beginners,4,en,positive,great effort team coursera dr like simplicity course perfect beginner
negotiation-skills,It's better to just read the transcripts than watch the painfully boring videos. If you don't have an interest in law then you won't find this class very interesting. I thought the information was good but could have been better presented.,3,en,neutral,well read transcript watch painfully boring video interest law will find class interesting think information good well present
healthcare-medical-technology,"Nice course. It would be better if the PPT could be modified (reduce the words, add more figures or diagrams).",4,en,positive,nice course well ppt modify reduce word add figure diagram
what-is-social,"Loved it. I learned a lot of new information and found it helpful to be reminded of things I already had a handle on but had not kept up with. I wish I had had the opportunity to increase my final grade by being prompted to engage in more discussion boards before finishing the course. I was surprised it was over when it was over, a final review page or check list type of thing would have been nice.",5,en,positive,love learn lot new information find helpful remind thing handle keep wish opportunity increase final grade prompt engage discussion board finish course surprised final review page check list type thing nice
aprender,Very interesting! It was a nice option to get into Cousera's courses. It makes us feel a little less dumb and brings some useful tools.,4,en,positive,interesting nice option cousera course make feel little dumb bring useful tool
data-cleaning,"The content in this course is essential, but the delivery is patchy and the course project is hard to complete with just the learning materials provided. Read around the course and visit the data science specialisation wiki for extra information, and work through it at your own pace, rather than that suggested by the course. It's much easier to do this now it's on the new Coursera platform :o)",3,en,neutral,content course essential delivery patchy course project hard complete learn material provide read course visit data science specialisation wiki extra information work pace suggest course easy new coursera platform
swift-programming,I wish I had paid closer attention to the refund policy. The production quality and content did not meet my expectations.,1,en,negative,wish pay close attention refund policy production quality content meet expectation
what-is-news,Staff are incredibly arrogant bordering on aggressive. The very worst of the pontificating profession - and what we long term learners and educators know to be all too common. I couldn't stand it so I stopped. Would never recommend.,1,en,negative,staff incredibly arrogant bordering aggressive bad pontificating profession long term learner educator know common stand stop recommend
calculus1,It's one of the greatest and funniest math courses I've ever got! Thank you so much for providing this great courses on-line!,5,en,positive,great funniest math course get thank provide great course line
practical-machine-learning,"Cannot take the exam, I have to pay... wtf... I will probably pay at the end, but I want to take the class first. Without certificate I cannot prove I took the course.",1,en,negative,exam pay wtf probably pay end want class certificate prove take course
addiction-and-the-brain,"Really disappointing course. Content is shallow, despite the impressive credentials of the Professor. Quizzes are ridiculously easy.",1,en,negative,disappointing course content shallow despite impressive credential professor quiz ridiculously easy
learning-how-to-learn,really helpfull and necessary,5,en,positive,helpfull necessary
coaching-teachers,I enjoyed this course it was helpful to me on many different teaching levels.,5,en,positive,enjoy course helpful different teaching level
python-network-data,"Nice but quite simple. And I missed the teaching of good pythonic programming style (something that is more than just script step by step but encapsulate functionality in functions, use advanced programming techniques, test your code and so on).",3,en,neutral,nice simple miss teaching good pythonic programming style script step step encapsulate functionality function use advanced programming technique test code
music-business-foundations,"Thanks for sharing good knowledge!!! John knows a lot and has a very friendly way to teach. I wish the course was longer and gives more indeep info, for example about recording agreements and actual rates for up comming artists. Here I learned important topics to advance my musical journey, I hope you all do so",5,en,positive,thank share good knowledge john know lot friendly way teach wish course long give indeep info example record agreement actual rate comming artist learn important topic advance musical journey hope
rookie-teaching,It requires you to use a lot of personal information - I did not do well on a peer graded assignment because I didn't give out enough information about what my teaching level is. I fail to see how it is relevant to learning the course and do not feel comfortable volunteering the amount of information many other people do.,2,en,negative,require use lot personal information peer grade assignment information teaching level fail relevant learn course feel comfortable volunteer information people
cats-and-dogs,"The content was inconsistently delivered and the topics disorganized. The content was excellent, although a bit repetitive at the end.",3,en,neutral,content inconsistently deliver topic disorganize content excellent bit repetitive end
wharton-business-financial-modeling-capstone,Too much focus on portfolio investments topic. Would expect more on modeling principles in broader context.,2,en,negative,focus portfolio investment topic expect modeling principle broad context
game-development,Provided Unity scripts for projects don't work properly with newer versions of Unity. Quality of video recording is kind of crappy esp. audio. Most of the stuff learned in this course you'd be able to learn straight from the Unity tutorials anyway. Not recommended unless you absolutely need scheduled assignments in order to learn.,2,en,negative,provide unity script project work properly new version unity quality video recording kind crappy esp audio stuff learn course able learn straight unity tutorial recommend absolutely need schedule assignment order learn
get-active,"In terms of how the course was presented, I liked it compared to the usual lecturing style; however, the content was below basic for someone in the field of health.",2,en,negative,term course present like compare usual lecturing style content basic field health
practical-machine-learning,In my view the course was useful but not as good as the previus ones I followed in the specializacion (such as regression models and stat. inference).The subject was too broad and there was no space to cover in detail all the algorithms. Also I think it's a bit out of date because there is no references to xgbboost which is now dominating many Kaggle contests,3,en,neutral,view course useful good previus one follow specializacion regression model stat subject broad space cover detail algorithm think bit date reference xgbboost dominate kaggle contest
learning-how-to-learn,"This course has really helped me not about learning how to learn but also how to deal with procrastination and to use the diffuse mode of thinking in solving problems in other areas of my life. A brilliant course indeed. Although not compulsory, the book by Barbara Oakley called A Mind For Numbers: How to Excel at Math and Science (Even If You Flunked Algebra) is a good companion material for this course.",5,en,positive,course help learn learn deal procrastination use diffuse mode think solve problem area life brilliant course compulsory book barbara oakley call mind number excel math science flunk algebra good companion material course
journalism,"NOTHING like described, NOT EASY for non native english speakers as describedextremely misleading..",1,en,negative,like describe easy non native english speaker describedextremely misleading
robotics-flight,"The video lectures provide an introduction to quadrotor flight dynamics and path planning. The lectures are ok.Unfortunately:At least one of the coding assignments has a significant bug in the termination condition. The mentors will ignore any help requests that deal with the bug in their code.The assignments involve a lot of hand tuning of PD controllers. That's a reasonable task to perform once or twice, but it rapidly becomes extremely tedious and detracts from the other materials that are being taught.The final assignment doesn't do a particularly good job evaluating the required test condition.If you do take the course I'd want you to know:You should expect to modify the provided code to fix their bugs.There are no ""gotcha"" quiz questions. If you are confused by getting a question wrong you might want to re-try your answer. There seems to be a bug in the way at least one quiz question is set up.On the final assignment you can modify the simulation step where it makes things run in ""real time"". Removing that step makes the simulation run much more quickly and allows for faster iteration.To conclude:This is a course with a lot of potential, but unless Coursera makes an effort to improve the course I would not recommend it.",1,en,negative,video lecture provide introduction quadrotor flight dynamic path planning lecture cod assignment significant bug termination condition mentor ignore help request deal bug assignment involve lot hand tuning pd controller reasonable task perform twice rapidly extremely tedious detract material final assignment particularly good job evaluate require test course want know expect modify provide code fix gotcha quiz question confuse get question wrong want try answer bug way quiz question set final assignment modify simulation step make thing run real time remove step make simulation run quickly allow fast conclude course lot potential coursera make effort improve course recommend
genomic-tools,I would prefer the lecture command line notes too in presentations or any other files in each week modules. It was difficult for me to understand her way of teaching and I felt the lectures didn't flow correctly.,3,en,neutral,prefer lecture command line note presentation file week module difficult understand way teaching feel lecture flow correctly
java-programming,"This course is not suitable for beginners at all, everything basic is skipped. Highly not recommended",1,en,negative,course suitable beginner basic skip highly recommend
software-processes-and-agile-practices,The lecture just reads books.,1,en,negative,lecture read book
wharton-introduction-spreadsheets-models,"Frankly speaking, it should be the most disappointing MOOC I have ever enrolled so far. The Professor's teaching is clear and comprehensible but the depth of the course content cannot meet the university level, especially from a worldwide renowned school like Wharton. Quiz is the most terrible part which seems like nobody could get it because of the ambiguous questions and paranoid answer area. Personally, I, like many other mates, am really grateful to Coursera for offering everyone this equal opportunity. But courses with that kind of quality but staggering price will destroy the company's brand. We all want Coursera to go further and better, but few people prefer monopoly businessman rather than prestigious professors and diligent intellectuals.",1,en,negative,frankly speak disappointing mooc enrol far professor teaching clear comprehensible depth course content meet university level especially worldwide renowned school like wharton quiz terrible like ambiguous question paranoid answer area personally like mate grateful coursera offer equal opportunity course kind quality staggering price destroy company brand want coursera well people prefer monopoly businessman prestigious professor diligent intellectual
blended-learning,"This course offered many interesting ideas about flipping school classrooms, but offered no suggestions about the practical methods to do so. As a teacher, I need to have realistic suggestions about the technology necessary to flip my math class, not a series of testimonials about how great it's going to be once my class is flipped.",1,en,negative,course offer interesting idea flip school classroom offer suggestion practical method teacher need realistic suggestion technology necessary flip math class series testimonial great go class flip
html,Could have been more useful,2,en,negative,useful
practical-machine-learning,"Material is very high level. No ppt's are given, so all links presented in the video's cannot be viewed.Quizzes are based upon old packages, so incorrect answers are provided.No replies at discussion board from TA""s or instructors.",1,en,negative,material high level ppt give link present video base old package incorrect answer reply discussion board instructor
cryptocurrency,"Inattentive lectures. There're only a few videos that are worth watching. You need to be prepared for wasting a lot of time for programming assignments -- it's not because the assignments are tough but because of poor descriptions and out of sync with lectures. If you're interested, just download the online material (not videos) and read through it. Much better than wasting your time with the lecture videos and assignments.",1,en,negative,inattentive lecture video worth watch need prepare waste lot time programming assignment assignment tough poor description sync lecture interested download online material video read well waste time lecture video assignment
wharton-capstone-analytics,good closing course but peer reviewing and no prof is little untraditional.,3,en,neutral,good closing course peer reviewing prof little untraditional
analytics-business-metrics,"The instructor is VERY bad at presenting. SO dry and monotonic. Omg, I really want to learn all this but can't stand him talking.",1,en,negative,instructor bad present dry monotonic omg want learn stand talk
work-smarter-not-harder,good and useful content but some problems in vids,3,en,neutral,good useful content problem vid
learning-how-to-learn,"Very helpful, very meta ( a course on how to take courses more efficiently)",5,en,positive,helpful meta course course efficiently
grammar-punctuation,"The information was quite was good, but the practice and assignments were too easy. Thanks for providing full explanations and a set of in-video examples for every rule.",3,en,neutral,information good practice assignment easy thank provide explanation set video example rule
food-and-health,"Worth not just learning , but apllying in day to day life!",5,en,positive,worth learn apllye day day life
analizando-politicas-economicas,"Great course of economic fundamentals, including a bit of different models critics. Great professor, I love her style: simple and plain.",5,en,positive,great course economic fundamental include bit different model critic great professor love style simple plain
python,Good course for beginers,3,en,neutral,good course beginer
ancient-greeks,A lesson with discussion about the question of quizz.,3,en,neutral,lesson discussion question quizz
python-data,Excellent online class. Clear instructions and the schedule is very easy to work with. Thanks.,5,en,positive,excellent online class clear instruction schedule easy work thank
digital-analytics,"Again the content and presentation is great.But the web site is getting really annoying, especially in the assignment area. The editor is faulty and on the submission on visualization you cannot use visualizations(!) to make your point due to technical limitations (can't paste charts or screenshots).Sometimes verification does not work.Support is sometimes very good, sometimes useless, depends with whom you chat.",2,en,negative,content presentation web site get annoying especially assignment area editor faulty submission visualization use visualization point technical limitation paste chart verification good useless depend chat
water-management,Nice way to teaching,5,en,positive,nice way teach
regression-models,The instructor is at time incomprehensible. It would be helpful to speak more slowly and pause more often. Otherwise he sounds like repeating something that he's so well memorized after many years of teaching.,3,en,neutral,instructor time incomprehensible helpful speak slowly pause sound like repeat memorized year teaching
web-frameworks,Excellent course with useful examples. I really recommend this course.,5,en,positive,excellent course useful example recommend course
ancient-greeks,Very interesting! I wish there is some animation film to explain the narative.,3,en,neutral,interesting wish animation film explain narative
predictive-modeling-analytics,"The instructor speaks too quickly and I think this will make it difficult for non-native English speakers to understand the material. This material will also be more understandable to individuals with a statistical analysis background, not enough time is spent on explanation and it will be necessary to supplement the class if you don't have the proper background. Passing the class by rote following of the examples will not give you the proper proficiency.",3,en,neutral,instructor speak quickly think difficult non native english speaker understand material material understandable individual statistical analysis background time spend explanation necessary supplement class proper background pass class rote following example proper proficiency
data-analytics-business,This course is a must for researchers,5,en,positive,course researcher
origins-universe-solarsystem,"Sorry, the guy in the first video doesn't blink, which is very weird. The second video was so incredibly dry and boring that I completely lost interest. I know this could be a fascinating course with the proper videos and visuals to help people understand it.",1,en,negative,sorry guy video blink weird second video incredibly dry boring completely lose interest know fascinating course proper video visual help people understand
swift-programming,"At first the presentations are really on a semi professional level (copy & paste codes, making errors without knowing the cause). They show a lot what can be done with swift but the never show/mention what it's really usefull for (no ""real life"" usage just snippets after snippets).To few practical doings (mostly only quiz stuff)",1,en,negative,presentation semi professional level copy paste code make error know cause lot swift mention usefull real life usage snippet practical doing quiz stuff
game-design,"A whimsical introduction to game design and the springboard for a Specialization Certificate, therefore important to take.",3,en,neutral,whimsical introduction game design springboard specialization certificate important
kennedy,"I wish a more extensive exam was administered. I think it was far too easy to pass. Gives the impression the course was not to be taken seriously, while, quite on the contrary, it was interesting and would deserve much effort.",3,en,neutral,wish extensive exam administer think far easy pass give impression course take seriously contrary interesting deserve effort
war,"The title of this course is Paradoxes of War. One of the paradoxes is how little paradox there is in war, after reviewing and reflecting on the lectures and the reading materials.",1,en,negative,title course paradox war paradox little paradox war review reflect lecture reading material
python,This course is great for anyone who wants to learn how to program.,5,en,positive,course great want learn program
website-coding,Exercises should be more tough so that students can read a lot on the web about different thingsthey could do with Javascript. Hands-on experience should be given to be more interactive.,3,en,neutral,exercise tough student read lot web different thingsthey javascript hand experience give interactive
statistical-inference,Cant understand whats going on,1,en,negative,not understand s go
types-of-conflict,Not very interesting or well-presented.,1,en,negative,interesting present
regression-models,"This was better than the statistical inference course, but Brian still puts too much emphasis on the precision of his language (as if he's teaching to other mathematicians) which makes it difficult to understand. I would like to see a bit more dumbed down explanation of the mathematics in the examples (similar to Sal at Khan Academy). If that happened, this would definitely be a 5 star course.",4,en,positive,well statistical inference course brian put emphasis precision language teach mathematician make difficult understand like bit dumbe explanation mathematic example similar sal khan academy happen definitely star course
project-management-basics,In my opinion a clear guideline is missing. The terms are not always the same and it's sometimes confusing.,3,en,neutral,opinion clear guideline miss term confusing
quantitative-methods,"Good content, good ideas, great examples. The forums were a little abandoned.",4,en,positive,good content good idea great example forum little abandon
build-a-computer,Learned a lot of thing that I was previously unaware of.,5,en,positive,learn lot thing previously unaware
regression-models,"Important material, poorly taught.",1,en,negative,important material poorly teach
r-programming,"This course is very bad. I would like to say this course sucks compared with my sql course no matter how it is structured or how the instructor conducted the course. The instructor is very boring and does not explain very clearly. Even when I start, he does not clearly clarify how to start to use R. He was just talking about what the powerpoint shows. I will absolutely not recommend this course if you are beginners. (0 STAR)I will give a little credit to swirl, a practical tool provided by this course to learn R by yourself thought the instruction of the R program itself. But for the later part of swirl, it's confusing sometimes. However, I learnt much more from swirl rather than from the instructor. I can't understand what he is talking about but you have to make it clear thru using swirl. He said the swirl is an optional part but he does not realized what he shows is much worse than swirl. (2 STARS)Overall, I don't recommend this anyone, especially if you are beginners.",2,en,negative,course bad like course suck compare sql course matter structure instructor conduct course instructor boring explain clearly start clearly clarify start use talk powerpoint show absolutely recommend course beginner little credit swirl practical tool provide course learn r think instruction r program later swirl confusing learn swirl instructor understand talk clear swirl say swirl optional realize show bad swirl recommend especially beginner
dyslexia-difficulties,challenging but so worth it and learned so much!,5,en,positive,challenging worth learn
statistical-inference,"Not beginner friendly, might be good as a refresher for grad students",2,en,negative,beginner friendly good refresher grad student
python,Too easy.,3,en,neutral,easy
practical-machine-learning,"The course feels rushed. I understand teaching Machine Learning in 4 weeks is impossible, but then maybe the course needs to have a narrower yet deeper scope rather than throw at you many concepts without details. e.g. trees, random forests, bagging and boosting all in 10 minutes each? Impossible...So, as opposed to creating machine learning intuition I feel the course became an R package code book.",3,en,neutral,course feel rush understand teach machine learn week impossible maybe course need narrow deep scope throw concept detail tree random forest bag boost minute impossible oppose create machine learning intuition feel course r package code book
client-needs-and-software-requirements,Waste of money.....,1,en,negative,waste money
regression-models,"Poorly designed, executed and instructed. Too much is left off the materials.",1,en,negative,poorly design execute instruct leave material
speak-english-professionally,It is ok but very small,3,en,neutral,ok small
history-of-rock,"As a standard overview, the course is fine. However, the lecturer skirts around or hand waves away controversial or difficult subjects, and he's apparently afraid of offending anyone by getting too close to saying ""fuck"" or ""sex"" even in an academic setting. Additionally, this course won't introduce anyone to forgotten and erased artists of the past - women are largely absent from his history of rock, even though Janis Joplin and The Supremes didn't come out of nowhere. The quizzes are also too heavy on the trivia - ""who published what when"" questions rather than critical thinking questions about why or how.",3,en,neutral,standard overview course fine lecturer skirt hand wave away controversial difficult subject apparently afraid offend get close say fuck sex academic setting additionally course will introduce forget erase artist past woman largely absent history rock janis joplin supreme come quiz heavy trivium publish question critical thinking question
big-data-integration-processing,"I have enrolled in this twice but can't see the course content. Every time I click ""go to course"" I get directed to the description of the course. Where are the lecture videos and other course content?",1,en,negative,enrol twice course content time click course direct description course lecture video course content
objective-c,"Peer review assignments are too hand-held, making the assignments themselves worthless.",1,en,negative,peer review assignment hand hold make assignment worthless
python-databases,Another mind-opening course from Dr. Chuck. I really enjoyed it. I would like to recommend to everyone who wants to leverage their skill in Python programming.,4,en,positive,mind opening course dr chuck enjoy like recommend want leverage skill python programming
more-chinese-for-beginners,"The teacher is very nice.I rated it with 3 stars only because this course does not contain any information about chinese hieroglyphs. In my opinion it is the main part of the language, and should be included.",3,en,neutral,teacher rat star course contain information chinese hieroglyph opinion main language include
archaeoastronomy,"The contents of the course are interesting however it is a shame that you can only access the quiz portion and assesments if you pay for the certificate. Same with the materials, it would be great if the readings and the suggested bibliography details could be downloaded.",2,en,negative,content course interesting shame access quiz portion assesment pay certificate material great reading suggest bibliography detail download
data-scientists-tools,Really helpful for learning basic Git and setting up Github.,5,en,positive,helpful learn basic git set github
popularity,"I wish they could let us take the quizzes without having to pay to verify that we have understood the lectures. However, the topic of the course and the lectures are clear and on point. Love the lessons so far!",3,en,neutral,wish let quiz have pay verify understand lecture topic course lecture clear point love lesson far
brand-management,The Subtitles were bad not in sync with the words of the professor and were wrong in many cases.Delivery of lecture and Visuals of the lecture was Ok.Module 4& 5 were very confusing and not interestingThank You Professor for your time and effort,2,en,negative,subtitle bad sync word professor wrong lecture visual lecture confusing interestingthank professor time effort
marketing-analytics,"This is a very basic course. The contents do not cover a whole lot of ground. I personally did feel that there is a lot of repetition and this course did not help much . I somehow feel this course and the next ( the practical one ) could have been combined into one. Otherwise, not worth 2 courses of money.",3,en,neutral,basic course content cover lot ground personally feel lot repetition course help feel course practical combine worth course money
uva-darden-business-society,"The course was more about CSR and philanthropy of businesses towards society which was not what I expected as the course topic as very vague. Having done an MBA in business I as expecting more in-depth teaching on strategies of various business and how their creation of value to stakeholders.The course is short and very appropriate for beginners but not in-depth knowledge, however it still does create valid points on businesses role towards society at large.Lastly I did like that all course material for all weeks were opened and thus one could progress through the course faster",3,en,neutral,course csr philanthropy business society expect course topic vague having mba business expect depth teaching strategy business creation value course short appropriate beginner depth knowledge create valid point business role society like course material week open progress course fast
predictive-analytics,"More dynamic visualisation please, and it will be 5*.",4,en,positive,dynamic visualisation
